concepto,comunidad,grado,grado_centralidad,intermediacion,cercania,pagerank
planning,1,24,0.24242424242424243,0.016697588126159554,0.5575293161500058,0.013953913068088852
multi,1,20,0.20202020202020204,0.025974025974025972,0.5450005674724776,0.010995141423301526
data,1,18,0.18181818181818182,0.017316017316017316,0.5359674088955857,0.0105371424874501
pareto,1,20,0.20202020202020204,0.0393733250876108,0.5389450056116722,0.010396754918410639
criteria,1,9,0.09090909090909091,0.00020614306328592042,0.5105794790005317,0.007612706962570449
objectives,1,9,0.09090909090909091,0.0008245722531436817,0.5052609427609428,0.00672310050992013
actors,1,6,0.06060606060606061,0.004741290455576169,0.5000520670623764,0.005477796181019506
research,1,8,0.08080808080808081,0.003092145949288806,0.5052609427609428,0.004967467159874119
software,1,7,0.07070707070707072,0.0008245722531436817,0.5000520670623764,0.004873785003877763
analysis,1,6,0.06060606060606061,0.007421150278293135,0.5000520670623764,0.004464197811417027
alternatives,1,4,0.04040404040404041,0.0,0.49243706096497974,0.0033362631605323174
values,1,4,0.04040404040404041,0.001443001443001443,0.494949494949495,0.003291357907588146
problems,1,4,0.04040404040404041,0.003916718202432488,0.4899500051015203,0.0028774393936184728
set,1,3,0.030303030303030304,0.001443001443001443,0.4899500051015203,0.002786275132641315
trade,1,2,0.020202020202020204,0.0,0.48505050505050507,0.0025298856352572304
sub,1,2,0.020202020202020204,0.0022675736961451248,0.48505050505050507,0.0022956890925673688
frontier,1,2,0.020202020202020204,0.0026798598227169654,0.48505050505050507,0.0022006049652264527
approach,1,2,0.020202020202020204,0.0070088641517212944,0.48748794477437696,0.002075558191170039
point,1,2,0.020202020202020204,0.0,0.4389597330773801,0.0020687002749605436
objective,2,64,0.6464646464646465,0.12224283652855081,0.7349250076522804,0.04514702854509652
carbon,2,33,0.33333333333333337,0.012162440733869304,0.5951539939270001,0.02242864240221465
solution,2,26,0.26262626262626265,0.01566687280972995,0.5640122151750059,0.0166608219793426
species,2,22,0.22222222222222224,0.006184291898577612,0.5511937557392103,0.012814407164351449
player,2,21,0.21212121212121213,0.016491445062873634,0.5480796667237345,0.011637107454396613
timber,2,17,0.17171717171717174,0.043496186353329205,0.5389450056116722,0.010826565798838386
harvest,2,13,0.13131313131313133,0.006184291898577612,0.5272288098375055,0.007669078379266711
optimal,2,13,0.13131313131313133,0.007421150278293135,0.5243789243789244,0.007323518416511366
solutions,2,12,0.12121212121212122,0.012987012987012986,0.5243789243789244,0.007057383541235956
npv,2,11,0.11111111111111112,0.0006184291898577612,0.5160111755856437,0.006906249692045997
ecosystem,2,9,0.09090909090909091,0.004329004329004329,0.507906288011,0.005750554961206838
sequestration,2,6,0.06060606060606061,0.0,0.4974876974876975,0.004971928408403528
level,2,8,0.08080808080808081,0.0008245722531436817,0.507906288011,0.004746337474379659
volume,2,7,0.07070707070707072,0.0012368583797155224,0.5000520670623764,0.004407014310771722
table,2,7,0.07070707070707072,0.00041228612657184083,0.5000520670623764,0.004250902577246159
services,2,5,0.05050505050505051,0.0,0.4974876974876975,0.0042327024222951065
growth,2,6,0.06060606060606061,0.0010307153164296021,0.4974876974876975,0.00403484848561271
function,2,6,0.06060606060606061,0.0012368583797155224,0.5026430104150312,0.0037955820327817595
method,3,0,0.0,0.0,0.0,0.0015128593040847204
model,4,45,0.4545454545454546,0.07400535971964543,0.6424510000668942,0.026667449651985795
supply,4,25,0.25252525252525254,0.012987012987012986,0.5673105322228129,0.02121201933679531
biomass,4,16,0.16161616161616163,0.0032982890125747267,0.533022533022533,0.014645273465756548
wood,4,22,0.22222222222222224,0.012987012987012986,0.5575293161500058,0.012612077124962285
period,4,21,0.21212121212121213,0.033189033189033185,0.5543434343434345,0.011756459999805118
chain,4,16,0.16161616161616163,0.0070088641517212944,0.5359674088955857,0.010415807197968786
production,4,14,0.14141414141414144,0.005359719645433931,0.5301098415852515,0.008506446166518874
environmental,4,15,0.15151515151515152,0.005772005772005772,0.5359674088955857,0.007797285729686964
energy,4,10,0.10101010101010102,0.0012368583797155224,0.5132809577254022,0.0071737324204726
economic,4,12,0.12121212121212122,0.012162440733869304,0.5243789243789244,0.0066979255160334
cost,4,10,0.10101010101010102,0.021851164708307565,0.5187705936369038,0.006108072862092669
social,4,9,0.09090909090909091,0.0022675736961451248,0.5132809577254022,0.00584750895497033
emissions,4,7,0.07070707070707072,0.005978148835291692,0.41457308123974795,0.004563989675516478
total,4,8,0.08080808080808081,0.019377447948876518,0.5132809577254022,0.004416602394201109
number,4,7,0.07070707070707072,0.002473716759431045,0.5132809577254022,0.004107609050860345
co2,4,5,0.05050505050505051,0.0055658627087198514,0.5000520670623764,0.0035565091133908993
type,4,5,0.05050505050505051,0.0018552875695732837,0.5000520670623764,0.0034505310825594373
page,4,3,0.030303030303030304,0.0,0.37311577311577315,0.0031737328223020193
manuscript,4,3,0.030303030303030304,0.0,0.37311577311577315,0.0031737328223020193
stand,5,24,0.24242424242424243,0.012574726860441145,0.5640122151750059,0.014734044051399373
fire,5,16,0.16161616161616163,0.009276437847866418,0.5301098415852515,0.009558014238620651
stands,5,13,0.13131313131313133,0.0010307153164296021,0.5301098415852515,0.008821947449911544
thinning,5,10,0.10101010101010102,0.006390434961863533,0.5132809577254022,0.006206364868816389
fuel,5,7,0.07070707070707072,0.0018552875695732837,0.5000520670623764,0.0043511426455706825
treatment,5,6,0.06060606060606061,0.0020614306328592042,0.4974876974876975,0.003867426619560352
tree,6,22,0.22222222222222224,0.02576788291074005,0.5511937557392103,0.012334307941974305
scenario,6,19,0.19191919191919193,0.004741290455576169,0.5419558715648101,0.012015326041802242
risk,6,16,0.16161616161616163,0.021232735518449803,0.533022533022533,0.010710921650745794
problem,6,14,0.14141414141414144,0.016903731189445475,0.5215596828500054,0.007911704629288372
trees,6,12,0.12121212121212122,0.007627293341579055,0.5187705936369038,0.007142007530088736
