Articulo,Termino,weight
4_Aranda y Orjuela_2015,modelo,55
4_Aranda y Orjuela_2015,multi,42
4_Aranda y Orjuela_2015,supply chain,13
44_Lu y Zhang_2024,forest,202
44_Lu y Zhang_2024,cutting,67
44_Lu y Zhang_2024,carbon,66
44_Lu y Zhang_2024,planning,56
44_Lu y Zhang_2024,spatial,45
44_Lu y Zhang_2024,age,42
44_Lu y Zhang_2024,area,41
44_Lu y Zhang_2024,forests,36
44_Lu y Zhang_2024,storage,35
44_Lu y Zhang_2024,change,35
44_Lu y Zhang_2024,model,34
44_Lu y Zhang_2024,growth,31
44_Lu y Zhang_2024,time,28
44_Lu y Zhang_2024,tree,27
44_Lu y Zhang_2024,total,26
44_Lu y Zhang_2024,ecological,25
44_Lu y Zhang_2024,harvesting,24
44_Lu y Zhang_2024,species,24
44_Lu y Zhang_2024,stand,23
44_Lu y Zhang_2024,logging,22
44_Lu y Zhang_2024,study,21
44_Lu y Zhang_2024,harvest,21
44_Lu y Zhang_2024,forest management,31
44_Lu y Zhang_2024,tree species,19
44_Lu y Zhang_2024,frontiers forests,15
44_Lu y Zhang_2024,forests global,15
44_Lu y Zhang_2024,global change,15
44_Lu y Zhang_2024,forest planning,10
44_Lu y Zhang_2024,decision support,8
44_Lu y Zhang_2024,forest area,8
44_Lu y Zhang_2024,clear cutting,8
44_Lu y Zhang_2024,global change fronti,14
44_Lu y Zhang_2024,sustainable forest m,6
44_Lu y Zhang_2024,forest management pl,5
44_Lu y Zhang_2024,multi objective mana,4
31_Ding etal_2025,land,149
31_Ding etal_2025,forests,91
31_Ding etal_2025,optimization,71
31_Ding etal_2025,area,58
31_Ding etal_2025,spatial,51
31_Ding etal_2025,model,44
31_Ding etal_2025,forest,41
31_Ding etal_2025,distribution,40
31_Ding etal_2025,algorithm,37
31_Ding etal_2025,study,36
31_Ding etal_2025,ecological,35
31_Ding etal_2025,carbon,35
31_Ding etal_2025,nsga,34
31_Ding etal_2025,objective,27
31_Ding etal_2025,multi,25
31_Ding etal_2025,crossref,25
31_Ding etal_2025,china,24
31_Ding etal_2025,type,22
31_Ding etal_2025,carbon sequestration,18
31_Ding etal_2025,spatial distribution,17
31_Ding etal_2025,spatial optimization,12
31_Ding etal_2025,non dominated,11
31_Ding etal_2025,genetic algorithm,11
31_Ding etal_2025,nsga algorithm,11
31_Ding etal_2025,pareto optimal,9
31_Ding etal_2025,total area,9
31_Ding etal_2025,multi objective opti,7
31_Ding etal_2025,pareto optimal solut,6
31_Ding etal_2025,dominated sorting ge,5
31_Ding etal_2025,sorting genetic algo,5
16_Serrano etal_2021,forest,107
9_Eyvindson etal_2018,forest,79
34_Fotakis etal_2012,forest,85
3_Amiri_y_Mohammadi_2024,forest,160
24_Cambero y Sowlati_2016,forest,94
37_Guo y He_2025,forest,253
17_Triviño etal_2015,forest,131
20_Baghizadeh etal_2021,forest,88
36_Gonzalez-Gonzalez etal,forest,117
40_Jones etal_2024,forest,137
18_Wang etal_2021,forest,513
22_Belval y Thomson_2023,forest,31
53_Pascual_2021,forest,84
47_Mazziotta etal_2025,forest,132
30_Diao y Geng_2023,forest,155
51_Navarro-Cerrillo etal_,forest,98
29_Couture etal_2021,forest,8
50_Nanos etal_2024,forest,30
14_Qiu etal_2023,forest,127
6_Cambero y Sowlati_2014,forest,224
43_Langner etal_2017,forest,61
48_Medeiros etal_2020,forest,65
10_Eyvindson etal_2024,forest,200
15_Serrano etal_2019,forest,19
54_Pérez-Rodríguez etal,forest,103
21_Belavenutti etal_2023,forest,121
Ejemplo_bibliografico_Ça,forest,266
45_Marques etal_2021,forest,48
33_Ezquerro etal_2019,forest,160
2_Alvarez etal_2018,forest,110
12_Nabhani etal_2024,forest,178
28_Cheng etal_2024,forest,94
7_Castro etal_2024,forest,149
1_Abate etal_2024,forest,52
27_Chung etal_2015,forest,39
